"Roadname and Road ID","Unique Asset ID","FountainType","Easting (Location/Map Coordinates)","Northing (Location/Map Coordinates)","Geometry"
"TOPHAM MALL (1519)","DF1","Curved","280567.5638","6132558.6061","POINT (15428627.3785165 -4153792.69122215)"
"PARK - LIGHT SQUARE (5304)","DF2","Curved","280234.9433","6132653.2566","POINT (15428225.1054877 -4153667.13004163)"
"CURRIE ST DSC (2016)","DF3","Curved","280712.0776","6132721.3334","POINT (15428808.115493 -4153597.87943589)"
"PARK 16 - VICTORIA PARK (5161)","DF4","Curved","282399.0667","6132209.8622","POINT (15430847.5837225 -4154272.89903272)"
"PARK 16 - VICTORIA PARK (5161)","DF5","Curved","282450.4228","6131627.627","POINT (15430893.2373663 -4154986.6838188)"
"PARK 17 - TUTHANGGA (5173)","DF6","Curved","282312.4779","6131458.0323","POINT (15430720.3124004 -4155190.14763931)"
"PARK 18 - WITA WIRRA (5185)","DF7","Post","281755.1243","6131489.4753","POINT (15430042.4220686 -4155135.40535752)"
"PARK 19 - PITYARRILLA (5193)","DF8","Post","281750.2477","6131242.9039","POINT (15430029.3060228 -4155436.92634933)"
"PARK 19 - PITYARRILLA (5193)","DF9","Curved","281690.2327","6131248.8755","POINT (15429956.385664 -4155427.86533149)"
"PARK 15 - ITYAMAI-ITPINA (5154)","DF10","Curved","282188.957","6132557.8","POINT (15430601.8121074 -4153841.13963981)"
"PARK 13 - RUNDLE (5133)","DF11","Curved","281896.738","6133043.058","POINT (15430260.0646363 -4153239.02211034)"
"PARK 02 - PARDIPARDINYILLA (5022)","DF12","Post","279734.9675","6135379.0877","POINT (15427696.2492433 -4150318.55733286)"
"PARK - HINDMARSH SQUARE (5312)","DF13","Curved","281323.8335","6132815.8335","POINT (15429555.821421 -4153500.21874966)"
"PARK - HINDMARSH SQUARE (5312)","DF14","Curved","281229.7257","6132802.3984","POINT (15429440.8329444 -4153513.89730066)"
"PARK - VICTORIA SQUARE (5322)","DF16","Post","280722.7749","6132386.2971","POINT (15428811.3495018 -4154008.03082113)"
"PARK - VICTORIA SQUARE (5322)","DF17","Post","280814.7898","6132394.3859","POINT (15428923.6386706 -4154000.8371148)"
"PARK 26 - TARNTANYA WAMA (5264)","DF18","Curved","280638.454","6133320.375","POINT (15428735.974061 -4152862.97009074)"
"PARK 26 - TARNTANYA WAMA (5264)","DF19","Curved","280507.1756","6133310.3613","POINT (15428575.8311397 -4152871.36276946)"
"PARK 26 - TARNTANYA WAMA (5264)","DF21","Curved","280280.2532","6133236.3129","POINT (15428297.3532591 -4152955.26572449)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","DF22","Curved","279590.5285","6133431.4363","POINT (15427463.2440854 -4152696.28485727)"
"PARK 26 - TARNTANYA WAMA (5264)","DF23","Post","280352.9579","6133358.8062","POINT (15428389.467138 -4152807.57482075)"
"PARK 29 - BROUGHAM GARDENS (5294)","DF24","Post","280511.127","6134358.703","POINT (15428611.2952052 -4151589.2622304)"
"PARK 29 - BROUGHAM GARDENS (5294)","DF25","Curved","280721.9201","6134266.2429","POINT (15428865.2364319 -4151708.53065239)"
"SOUTH TCE (1435)","DF26","Curved","281420.739","6131517.8001","POINT (15429636.0004528 -4155090.96891469)"
"KING WILLIAM ST_ASC (2009)","DF27","Curved","280819.8657","6131937.2567","POINT (15428916.4627 -4154560.19911605)"
"PARK 12 - KARRAWIRRA (5125)","DF28","Curved","281438.67","6133103.933","POINT (15429704.0516016 -4153151.17137322)"
"PARK 12 - KARRAWIRRA (5125)","DF29","Curved","281100.102","6133075.529","POINT (15429290.9557295 -4153176.00176735)"
"PARK 12 - KARRAWIRRA (5125)","DF30","Curved","281000.4333","6133065.5986","POINT (15429169.3012943 -4153185.22735707)"
"PARK 12 - KARRAWIRRA (5125)","DF31","Curved","280873.3119","6133055.4468","POINT (15429014.2116285 -4153193.91719089)"
"PARK 12 - KARRAWIRRA (5125)","DF32","Post","280825.8374","6134033.6019","POINT (15428984.9661253 -4151996.11087221)"
"PARK 13 - RUNDLE (5133)","DF33","Curved","282033.005","6133084.1107","POINT (15430427.1889525 -4153192.78331504)"
"PARK 20 - KURANGGA (5207)","DF34","Post","281342.9057","6131135.7986","POINT (15429530.068307 -4155556.04270411)"
"PARK 20 - KURANGGA (5207)","DF35","Curved","281225.6389","6131462.8096","POINT (15429396.7854737 -4155152.52967785)"
"PARK 19 - PITYARRILLA (5193)","DF36","Post","281670.2277","6131209.1641","POINT (15429930.8645943 -4155475.86511453)"
"PARK 21WEST - MIRNU WIRRA (5216)","DF37","Curved","280026.6823","6131344.5711","POINT (15427933.1205805 -4155261.9493287)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","DF40","Curved","280117.064","6133000.626","POINT (15428091.7404281 -4153238.75198321)"
"PARK 10 - WARNPANGGA (5101)","DF41","Curved","281087.0968","6133941.0414","POINT (15429300.3638886 -4152116.97698807)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","DF42","Post","279057.62","6133504.504","POINT (15426816.5198813 -4152591.17467617)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","DF43","Post","279173.861","6133519.51","POINT (15426958.4962155 -4152576.2569401)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","DF44","Curved","278886.5464","6133518.2491","POINT (15426608.6261987 -4152569.30229625)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","DF45","Post","278991.6473","6133477.6419","POINT (15426735.400746 -4152622.0790407)"
"PARK 28 - PALMER GARDENS (5281)","DF47","Post","280242.7065","6134039.5735","POINT (15428275.1519464 -4151971.68300709)"
"PARK 28 - PALMER GARDENS (5281)","DF48","Curved","280233.749","6134235.4434","POINT (15428269.9793385 -4151731.86157313)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","DF49","Post","280063.241","6133430.021","POINT (15428038.7855137 -4152711.94597105)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","DF50","Post","279629.9413","6133482.4939","POINT (15427512.7327893 -4152634.99740221)"
"PARK 01 - GOLF LINKS (5016)","DF51","Post","280028.478","6133500.82","POINT (15427998.532363 -4152624.32599761)"
"PARK 01 - GOLF LINKS (5016)","DF52","Post","279718.184","6135091.041","POINT (15427667.370391 -4150670.31381024)"
"PARK 01 - GOLF LINKS (5016)","DF53","Post","279586.356","6135337.848","POINT (15427514.1260014 -4150364.60957322)"
"PARK 01 - GOLF LINKS (5016)","DF54","Post","279616.4726","6135207.8591","POINT (15427546.9750028 -4150524.45916115)"
"PARK 01 - GOLF LINKS (5016)","DF55","Post","279463.171","6134995.64","POINT (15427354.1179117 -4150779.46401522)"
"PARK 01 - GOLF LINKS (5016)","DF56","Post","279297.954","6134652.679","POINT (15427142.9033825 -4151194.01091213)"
"PARK 01 - GOLF LINKS (5016)","DF57","Post","279225.2","6134474.812","POINT (15427049.0998197 -4151409.38994159)"
"PARK 01 - GOLF LINKS (5016)","DF58","Post","279223.227","6134401.632","POINT (15427044.5460858 -4151498.83035314)"
"PARK 01 - GOLF LINKS (5016)","DF59","Post","279261.519","6134345.864","POINT (15427089.5263876 -4151568.16567102)"
"PARK 01 - GOLF LINKS (5016)","DF60","Post","280031.879","6133977.874","POINT (15428016.6530864 -4152040.94295091)"
"PARK 01 - GOLF LINKS (5016)","DF61","Post","279981.1485","6133847.8838","POINT (15427951.0764907 -4152198.43710619)"
"PARK 01 - GOLF LINKS (5016)","DF62","Post","279988.3145","6133628.7245","POINT (15427953.3780215 -4152466.70100793)"
"PARK 05 - NGAMPA YARTA (5051)","DF64","Post","280472.8906","6135449.6778","POINT (15428596.6319111 -4150253.9333319)"
"PARK 25 - NARNUNGGA (5252)","DF65","Curved","279292.808","6132879.725","POINT (15427084.5102124 -4153362.32978134)"
"SOUTH TCE (1435)","DF66","Curved","280820.227","6131470.294","POINT (15428903.2553538 -4155131.48076391)"
"PARK 23 - WIRRARNINTHI (5231)","DF67","Post","279429.3687","6130997.0215","POINT (15427195.4322819 -4155669.52549503)"
"PARK - VICTORIA SQUARE (5322)","DF68","Post","280844.0509","6132101.7754","POINT (15428950.7231265 -4154359.64760162)"
"PARK - VICTORIA SQUARE (5322)","DF69","Post","280752.0876","6132091.0265","POINT (15428838.4154302 -4154370.09731249)"
"PARK 21 - WALYU YARTA (5211)","DF70","Post","280810.6504","6130888.9078","POINT (15428874.5959447 -4155842.49385856)"
"PARK 16 - VICTORIA PARK (5161)","DF71","Post","282272.1663","6132239.9496","POINT (15430693.9162044 -4154232.3932788)"
"PARK 15 - ITYAMAI-ITPINA (5154)","DF72","Curved","282049.1284","6132451.7137","POINT (15430428.4519799 -4153966.83422371)"
"PARK 16 - VICTORIA PARK (5161)","DF73","Post","282385.9291","6131956.9631","POINT (15430824.2472847 -4154581.89934045)"
"PARK 19 - PITYARRILLA (5193)","DF74","Post","281593.1935","6131310.0849","POINT (15429839.9815678 -4155350.14033967)"
"PARK - HURTLE SQUARE (5342)","DF75","Curved","281349.611","6131837.44","POINT (15429558.6935863 -4154697.84278022)"
"PARK 12 - KARRAWIRRA (5125)","DF76","Curved","280884.9566","6133075.7504","POINT (15429028.9840124 -4153169.42346159)"
"PARK 02 - PARDIPARDINYILLA (5022)","DF77","Curved","279776.1719","6135437.8337","POINT (15427748.1319559 -4150247.93201334)"
"PARK 06 - NANTU WAMA (5066)","DF78","Curved","280765.6358","6134861.6261","POINT (15428935.8438754 -4150981.6610323)"
"JEFFCOTT ST (1292)","DF79","Curved","279858.88","6134934.043","POINT (15427834.0515098 -4150866.45451295)"
"BARTON TCE EAST (1520)","DF80","Curved","280639.0743","6135146.8654","POINT (15428790.093999 -4150629.11880449)"
"KERMODE ST (1299)","DF81","Curved","280651.876","6134090.3325","POINT (15428774.8171013 -4151921.62201588)"
"PARK 11 - TAINMUNTILLA (5112)","DF82","Curved","281649.497","6134034.711","POINT (15429987.8497435 -4152018.86468586)"
"PARK 26 - TARNTANYA WAMA (5264)","DF83","Curved","280162.4625","6133318.4977","POINT (15428156.33303 -4152851.27542305)"
"PARK 16 - VICTORIA PARK (5161)","DF84","Post","282426.5362","6131794.5344","POINT (15430868.9884401 -4154781.79384251)"
"MANN TCE (1323)","DF85","Curved","281627.7917","6134983.2984","POINT (15429989.0092323 -4150858.0932054)"
"PARK 21 - WALYU YARTA (5211)","DF86","Curved","280499.986","6131340.04","POINT (15428509.4246365 -4155281.42550239)"
"PARK 20 - KURANGGA (5207)","DF87","Post","281352.2377","6131105.7054","POINT (15429540.5565464 -4155593.13391969)"
"PARK 18 - WITA WIRRA (5185)","DF88","Post","281637.6822","6131520.1374","POINT (15429900.2822569 -4155094.45847304)"
"PARK 01 - GOLF LINKS (5016)","DF89","Post","279294.4096","6134287.3967","POINT (15427127.8517048 -4151640.64305222)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","DF90","Curved","279171.509","6133603.273","POINT (15426958.0967901 -4152473.73615018)"
"PARK 12 - KARRAWIRRA (5125)","DF91","Refill","281267.3657","6133089.933","POINT (15429495.0496072 -4153163.28225906)"
"PARK 23 - WIRRARNINTHI (5231)","DF92","Curved","279645.1297","6131905.5808","POINT (15427484.9138442 -4154564.37255903)"
"PARK 10 - WARNPANGGA (5101)","DF93","Curved","281446.6835","6134490.2823","POINT (15429754.1736665 -4151455.7516649)"
"PARK 06 - NANTU WAMA (5066)","DF94","Post","280841.4679","6134767.5121","POINT (15429025.4184164 -4151098.98252059)"
"PARK 05 - NGAMPA YARTA (5051)","DF96","Curved","280657.3715","6135388.5426","POINT (15428819.4262778 -4150334.10783704)"
"PARK 05 - NGAMPA YARTA (5051)","DF97","Curved","280673.1197","6135376.0883","POINT (15428838.2340017 -4150349.79995994)"
"PARK 11 - TAINMUNTILLA (5112)","DF99","Curved","281161.6512","6133887.561","POINT (15429389.5797744 -4152184.57182515)"
"TYNTE ST (1476)","DF100","Memorial","280162.6678","6134703.8815","POINT (15428197.1514543 -4151156.87052552)"
"PARK - WELLINGTON SQUARE (5355)","DF101","Curved","279948.2726","6134620.0848","POINT (15427933.6802329 -4151253.04392724)"
"PARK 03 - KANTARILLA (5400)","DF102","Post","280272.2904","6135517.6526","POINT (15428354.4181996 -4150164.91757149)"
"PARK - WHITMORE SQ (5331)","DF104","Post","280271.3352","6131726.7923","POINT (15428242.2824794 -4154801.54888044)"
"PARK - WHITMORE SQ (5331)","DF105","Curved","280271.6468","6131773.3949","POINT (15428244.0273287 -4154744.54615904)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","DF106","Memorial","278940.9459","6133477.022","POINT (15426673.6484687 -4152621.33737904)"
"PARK 22 - WIKAPARNTU WIRRA (5223)","DF107","Curved","279548.8389","6130974.7398","POINT (15427340.2842096 -4155700.31590734)"
"PARK 25 - NARNUNGGA (5252)","DF108","Curved","278928.635","6133125.9194","POINT (15426648.3165333 -4153050.42083407)"
"PARK 21WEST - MIRNU WIRRA (5216)","DF109","Post","279800.9651","6131191.2564","POINT (15427653.7181889 -4155442.862668)"
"PARK 21WEST - MIRNU WIRRA (5216)","DF110","Post","279968.3957","6131348.5636","POINT (15427862.2506718 -4155255.34699162)"
"PARK 21 - WALYU YARTA (5211)","DF111","Curved","280678.5036","6131396.7598","POINT (15428728.5011258 -4155217.28073689)"
"PARK 17 - TUTHANGGA (5173)","DF112","Curved","281980.0441","6131554.268","POINT (15430318.236072 -4155062.70937661)"
"PARK 16 - VICTORIA PARK (5161)","DF113","Curved","282464.7317","6131892.9375","POINT (15430918.3597613 -4154662.5225756)"
"PARK 15 - ITYAMAI-ITPINA (5154)","DF114","Refill","282366.3594","6132403.6209","POINT (15430813.3737797 -4154034.91764379)"
"PARK 14 - RYMILL PARK (5141)","DF115","Post","282091.0206","6132830.0085","POINT (15430490.4548013 -4153505.30052618)"
"EAST TCE ASC (1208)","DF117","Curved","282389.9736","6131889.1397","POINT (15430827.2050167 -4154664.99016255)"
"PARK - VICTORIA SQUARE (5322)","DF118","Curved","280787.1495","6132349.7064","POINT (15428888.6736038 -4154054.68169002)"
"PARK - VICTORIA SQUARE (5322)","DF119","Curved","280825.5499","6132265.3679","POINT (15428932.972463 -4154158.97978442)"
"PARK - VICTORIA SQUARE (5322)","DF120","Curved","280739.476","6132258.1216","POINT (15428827.9411887 -4154165.31741644)"
"RUNDLE MALL (1418)","DF121","Curved","280776.2504","6132874.0882","POINT (15428890.7233241 -4153412.90884351)"
"Z_PHOTOARCHIVE (2)","DF122","Curved","","","POINT (15426310.6467275 -4155155.2341716)"
"Z_PHOTOARCHIVE (2)","DF123","Memorial","","","POINT (15426315.4557779 -4155169.20939603)"
"Z_PHOTOARCHIVE (2)","DF124","Post","","","POINT (15426315.4557779 -4155169.20939603)"
"PARK 17 - TUTHANGGA (5173)","DF125","Post","282444.7429","6131393.6064","POINT (15430879.5303883 -4155272.82442838)"
"RUNDLE MALL (1418)","DF126","Curved","281235.2342","6132914.7203","POINT (15429450.8155696 -4153376.66325489)"
"RUNDLE MALL (1418)","DF127","Curved","280973.9901","6132893.9512","POINT (15429132.0917317 -4153394.4128011)"
"RUNDLE MALL (1418)","DF128","Refill","280972.6092","6132893.6899","POINT (15429130.4025775 -4153394.69193756)"
"LIVERPOOL ST (1315)","DF129","Curved","279881.0954","6132818.6552","POINT (15427799.0688577 -4153454.38998813)"
"HUTT ST (1286)","DF130","Unknown","281931.4871","6131892.8426","POINT (15430268.9437839 -4154647.08300953)"
"PARK 15 - ITYAMAI-ITPINA (5154)","DF131","Post","282272.5848","6132479.5032","POINT (15430701.3787237 -4153939.35759608)"
"PARK 11 - TAINMUNTILLA (5112)","DF132","Post","281463.653","6134152.6451","POINT (15429765.0065871 -4151869.19105288)"
"PARK 16 - VICTORIA PARK (5161)","DF133","Refill","282935.2084","6131878.2247","POINT (15431490.9081591 -4154694.2150014)"
"","","","","",""
