AP Name,Lat,Lon
NorthTce134,-34.921764,138.597495
RosinaSt28_rap,-34.924524,138.595581
GrenfellSt32,-34.924271,138.600974
NorthTce142,-34.921378,138.597477
PulteneyStHMSQ_sw_rap,-34.924959,138.6056
PeelSt23,-34.923921,138.598114
FlindersSt32_rap,-34.926953,138.601934
PirieSt112_rap,-34.925518,138.604124
GrenfellSt55,-34.924361,138.601833
GrenfellSt75,-34.924315,138.602793
RundleMallCnpyS_rap,-34.922784,138.601886
KingWilliamSt90_rap,-34.92481,138.599808
WakefieldSt21_rap,-34.928654,138.602047
CurrieSt279,-34.925073,138.587825
FlindersSt138_rap,-34.926804,138.605526
Nano_Ready_2_Go,-34.922979,138.609575
PirieSt12,-34.925676,138.600534
PulteneySt17,-34.921908,138.605374
WaymouthSt24,-34.92577,138.598728
HuttSt202_rap,-34.932441,138.612474
Jackpots_on_Hindley,-34.92316,138.5986
NorthTce239,-34.921352,138.605729
PirieSt50,-34.925598,138.601995
WCHosp_Rog1,-34.911478,138.600758
CurrieSt140,-34.924574,138.594342
CurrieSt51,-34.924579,138.597596
FranklinSt33,-34.927353,138.597764
GillesSt91,-34.934164,138.603872
GougerSt52_rap,-34.930174,138.597147
KingstonSt,-34.92398,138.596492
NorthTce106,-34.921878,138.595495
NorthTce226,-34.921431,138.604386
PulteneySt41,-34.922772,138.605469
Cibo_Espresso_King_William,-34.9245,138.59982
Colonel_Light_Centre2,-34.92571,138.60095
FranklinSt16_rap,-34.927182,138.598392
RundleSt218,-34.92251,138.60782
TechPark_WestWing,-34.81396,138.619557
VictoriaSq_ne,-34.927339,138.600285
FlindersSt12,-34.92711,138.600723
Funk_Coffee_Pirie_St,-34.925754,138.605082
GroteSt1_rap,-34.928782,138.59906
HindleySt44,-34.923038,138.59776
KingWilliamSt321_rap,-34.931616,138.599999
NorthTce192_rap,-34.921771,138.601804
NorthTce308,-34.921159,138.610989
WaymouthSt60,-34.925791,138.597568
CiboRundleMall,-34.922686,138.603889
FlindersSt92,-34.926898,138.603989
FranklinSt97,-34.92748,138.595343
GilbertSt2_rap,-34.934216,138.600201
HindleySt2,-34.922984,138.599023
NorthTce179,-34.921603,138.600603
OConnellSt21_rap,-34.908534,138.596664
Rundle187_w_rap,-34.922739,138.606697
RundleMallCnpyE_rap,-34.922784,138.601979
SirDonaldBradmanDr1,-34.929109,138.587539
The_Greek_On_Halifax,-34.93246,138.60325
Topham_Archives,-34.925272,138.597903
UnCaffe_NthAdelaide,-34.90705,138.595251
VictoriaSq_se,-34.930028,138.600346
WaymouthSt70_rap,-34.925856,138.596923
Cibo_TTP,-34.82997,138.692286
FranklinSt184_rap,-34.92737272,138.5936202
GillesSt41_rap,-34.934293,138.601725
GougerSt2,-34.930076,138.599306
GrenfellSt131,-34.924215,138.604732
GrenfellSt150_s,-34.923872,138.606985
GrenfellSt204,-34.923856,138.608697
HindleySt282_rap,-34.923453,138.589235
HuttSt162_rap,-34.931,138.612373
HuttSt80_rap,-34.927858,138.61214
LightSq_n,-34.92427,138.593846
MarketHall_ce,-34.929603,138.59702
PirieSt195_rap,-34.925537,138.607361
PulteneySt272,-34.929444,138.606162
RegisterLn1_rap,-34.924743,138.600196
TechPark_Conference,-34.813746,138.620423
UnionSt11,-34.923008,138.608591
VictoriaSq_cse_rap,-34.929693,138.600184
BoweryKitchen,-34.934271,138.601281
Cafe_Brunelli,-34.922739,138.60671
CiboOConnellSt,-34.907496,138.596203
CiboWaymouthSt,-34.92575,138.598438
Cibo_Espresso_Melbourne_St,-34.90779,138.60558
Colonel_Light_Centre,-34.92571,138.60095
CurrieSt148,-34.924645,138.592838
HindleySt296,-34.92349,138.588168
NorthTce129,-34.921614,138.596556
NorthTce15,-34.922206,138.589408
OConnellSt181_rap,-34.90314,138.59499
On_The_Run_C-Coffee,-34.92194,138.59804
Panacea,-34.932634,138.603066
Pranzo,-34.92555,138.60053
RundleMall101_w,-34.922809,138.603409
WCHosp_Lev2Playdeck,-34.911396,138.60005
WCHosp_Rog2,-34.911528,138.600744
WhitmoreSq_n,-34.93186,138.594252
AquaticCentre,-34.900506,138.590908
Bean_Bar_James_Place,-34.92356,138.60034
Bostons_Cafe,-34.924012,138.602634
CiboHuttStreet,-34.932142,138.612123
Cibo_Espresso_Pirie_St,-34.925684,138.603443
CocolatDesserts2,-34.922852,138.609259
CurrieSt1_rap,-34.924555,138.599483
CurrieSt240,-34.924831,138.589303
FranklinSt300,-34.927628,138.587977
FromeRd22,-34.922051,138.607965
FunkKingWill,-34.935455,138.600112
GroteSt112,-34.928782,138.595304
GroteSt61_rap,-34.928963,138.597543
HindleySt87,-34.923206,138.596202
HuttSt231_rap,-34.933512,138.612209
HuttStLibrary,-34.933473,138.61205
LightSq74_rap,-34.925834,138.594416
LindesLn_rap,-34.92309697,138.6030777
MarketHall_cc,-34.929497,138.597307
MontefioreBridge,-34.921681,138.593444
OConnellSt101_rap,-34.905861,138.595709
PulteneySt226_rap,-34.927475,138.605991
RegentArcade,-34.923482,138.603462
RundleMallCnpyW_rap,-34.922767,138.601844
StateLib_NorthWest,-34.919934,138.601965
The_Lunchroom,-34.924022,138.604517
TophamMallSouth,-34.925472,138.597648
WCHosp_Lev2Cafe,-34.911295,138.599996
WyattSt14_rap,-34.92494,138.603833
BowdenDevAP2,-34.905647,138.579826
Caffe_Teca,-34.90555,138.598339
ChesserSt_rap,-34.924687,138.603046
Cibo_Espresso_Rundle,-34.922491,138.607692
HuttSt41,-34.926689,138.611809
JamesPl11,-34.923354,138.600635
KingWilliamRd77,-34.910609,138.599194
KingWilliamSt42_rap,-34.923117,138.599677
LightSq_s,-34.925418,138.593747
Lincontro,-34.923485,138.603934
MarketHall_cw,-34.929598,138.596613
MorphettSt19,-34.922126,138.593004
MoseleySquare-X,-34.980307,138.511791
NorthTce55,-34.921817,138.591628
PortRd5_rap,-34.921758,138.58701
PulteneySt180,-34.926134,138.605919
PulteneySt437,-34.933934,138.606307
RoperSt1,-34.928544,138.604405
RundleMall128_w,-34.922712,138.60383
StateLib_Mortlock,-34.920383,138.602662
Sturt_Street_Snack_Bar,-34.933631,138.589551
Sylvias_Cafe,-34.923444,138.604722
TechPark_EastWing,-34.814574,138.62041
Avila_Coffee,-34.92354,138.60655
Benjamin_On_Franklin,-34.927814,138.590347
BowdenDevAP1,-34.905836,138.580035
EastTce14,-34.922322,138.610718
EastTce31,-34.922953,138.611098
ErosKafe,-34.922701,138.609855
FranklinSt262_rap,-34.927442,138.589181
GroteSt123,-34.929026,138.594088
GroteSt223,-34.929206,138.5914
HindleySt124_rap,-34.923183,138.594829
HindleySt165,-34.923373,138.593205
HindmarshSq_ne,-34.923659,138.606152
HuttSt118_rap,-34.929374,138.61226
HydeSt39_rap,-34.925095,138.604394
Joy_Discovery,-34.92275,138.60755
KingWilliamRd12,-34.917199,138.598902
KingWilliamSt440,-34.93554,138.60058
LuxxeCafe,-34.925809,138.597284
MarketHall_nc,-34.929248,138.597076
Metropolitan_Hotel,-34.92857,138.597478
OConnellSt139,-34.904565,138.595183
OConnellSt61_rap,-34.907402,138.596262
Perfect_Cup,-34.92406,138.60278
PulteneySt230,-34.928453,138.605814
PulteneySt470_rap,-34.934974,138.606553
RundleMall128_e,-34.922719,138.60368
RundleMall23_w,-34.923035,138.600501
Rundle_Place_Library_03,-34.923173,138.602795
UnCafeWaymouth,-34.926004,138.598756
VictoriaSq_nw,-34.927439,138.599445
Viva_Espresso,-34.925567,138.602421
WakefieldSt180,-34.928175,138.607147
WakefieldSt195,-34.928361,138.608216
WakefieldSt245,-34.928258,138.610309
Zouki_Cafe,-34.919622,138.607346
AnsterSt,-34.925447,138.598327
BlytheSt_rap,-34.92248,138.596053
Botanic_Gardens_Kiosk,-34.917903,138.609835
Box_Factory_Community_Centre,-34.931671,138.60848
BroughamPl62_rap,-34.909546,138.597099
Cibo_Espresso_Gouger,-34.93033,138.59766
Cocolat_Wicked_Desserts,-34.92263,138.61004
CoromandelPl_rap,-34.924696,138.602445
CurrieSt160,-34.924691,138.592005
CurrieSt196,-34.924774,138.590292
EastTce82_rap,-34.924813,138.611952
FoodForThought,-34.924907,138.60218
FrancisPl_rap,-34.9233,138.602326
GawlerPl53,-34.923455,138.601919
GougerSt137,-34.930515,138.594181
GrenfellSt162_s,-34.923845,138.607415
HindleySt246,-34.92345,138.590196
Jarvis_Subaru,-34.93519,138.58857
KingWilliamSt2,-34.921683,138.599639
Lime2_Cafe,-34.92544,138.59452
Montefiore1,-34.916928,138.593168
Rundle187_e_rap,-34.922739,138.607067
RundlePk1,-34.922427,138.612701
Rundle_Place_Library_04,-34.923173,138.602795
Scootz_Cafe,-34.93376,138.60643
StateLib_Microfilm,-34.919921,138.60237
StateLib_ServiceDesk,-34.920114,138.602381
SymChoonLn8,-34.922897,138.608009
The_Elephant_British_Pub,-34.92146,138.60898
TophamMallNorth,-34.925154,138.597667
VaughanPl2_rap,-34.921868,138.608179
WakefieldParklands1_rap,-34.927834,138.615113
WaymouthSt163,-34.926169,138.593133
WaymouthSt198,-34.926119,138.591845
Adelaide_Festival_Centre,-34.91988,138.598185
Adelaide_South_West_Community_Ce,-34.933498,138.592188
BTS_Cafe,-34.925807,138.600964
BstoneGouger,-34.93086,138.590616
Cafe_Amore,-34.92533,138.60602
EastTce39,-34.923743,138.611424
ElderParkPopeye,-34.918528,138.597695
Espressoholics,-35.014941,138.734662
FrenchSt_rap,-34.924735,138.602885
Gilbert_Street_Hotel,-34.93437,138.59711
GillesAr19,-34.925257,138.595547
GrenfellSt150_w_rap,-34.923789,138.606848
GroteSt178,-34.928914,138.592353
Halifax_Cafe,-34.9326,138.608857
KingWilliamSt1,-34.922067,138.599281
Kings_Head,-34.93242,138.60014
LightSq_nw,-34.92406563,138.5924247
Love_Adelaide,-34.92373,138.59288
MarketHall_se,-34.929888,138.597541
MarketHall_sw,-34.929907,138.597121
MontefioreSt3_rap,-34.918807,138.592971
MoontaSt13,-34.929458,138.595887
PulteneySt422,-34.932445,138.606408
RegisterSt,-34.923308,138.592189
RundleMall23_e,-34.923053,138.600581
Rundle_Place_Library_05,-34.923173,138.602795
SA_German_Association,-34.926878,138.608995
StateLib_AromaCafe,-34.919951,138.602633
Strathmore2,-34.921894,138.596897
The_Mars_Bar,-34.930286,138.594726
The_Office_on_Pirie,-34.925461,138.604063
TynteStLibrary1,-34.906256,138.593983
VaughnPl10_rap,-34.922042,138.608855
WakefieldSt214,-34.928081,138.609165
WarMemorialDr,-34.918141,138.596167
WaymouthCafe,-34.926118,138.590641
WaymouthSt115,-34.925987,138.595481
WaymouthSt245,-34.926313,138.590567
West_End_Tavern,-34.92354,138.590268
Arab_Steed,-34.93337,138.61225
Chinatown_Espresso,-34.930176,138.596001
Deli_on_Pulteney,-34.923381,138.605797
FestivalCentre1_rap,-34.919035,138.598714
GougerSt72_rap,-34.930144,138.596635
GrenfellSt162_rap,-34.923707,138.607539
Hackney_Hotel,-34.91024,138.61326
Jack_Ruby,-34.924916,138.599392
JacksHighStreetCafe,-35.255091,138.892878
Kentish_Arms_Hotel,-34.904595,138.609159
KingWilliamRd16,-34.919778,138.59941
Largspier,-34.825149,138.486084
Londontavern,-34.921735,138.600779
Mapo,-34.9301,138.59517
MarketHall_ne,-34.92915,138.597472
MarketHall_nw,-34.929176,138.597093
Montefiore2,-34.91565,138.592886
Oxford_Hotel,-34.905862,138.595643
Pour_24,-34.923487,138.595265
Rob_Roy_Hotel,-34.932572,138.604362
Rundle_Place_Library_01,-34.92319,138.602522
Strathmore1,-34.921816,138.596889
TheCoffeePot,-34.923115,138.600787
TownHallDavidSpenceRm,-34.926767,138.600071
TynteStLibrary2,-34.906121,138.593824
UnleyRd1,-34.936213,138.606644
VictoriaSq_cne_rap,-34.928264,138.600322
Walkersarms,-34.889759,138.613178
Wellington_Hotel1,-34.90761,138.59259
ADL6_Office,-34.927277,138.588976
CremorneHotel,-34.953572,138.607891
Crown_and_Anchor_Hotel,-34.92376,138.60849
DukeOfYork_MainBar,-34.924159,138.596475
FestivalCentre2_rap,-34.919508,138.597503
FestivalCentre3_rap,-34.919458,138.596941
FlindersSt253_rap,-34.926906,138.60986
MarketHall_sc,-34.930021,138.59687
Munooshi_Cafe,-34.92322,138.61068
Queens_Theatre,-34.925559,138.595602
Royal_Oak_Hotel,-34.9052,138.59541
Rundle_Place_Library_02,-34.923173,138.602795
Rymill_Park_Kiosk,-34.92427,138.61413
SA_German_Association_AP02,-34.926915,138.609167
StateLib_MyHub,-34.920422,138.602174
VicHarborVC,-35.557123,138.624508
VictoriaSq_cnw_rap,-34.928053,138.599592
WellingtonSq_rap,-34.906915,138.592362
Wellington_Hotel2,-34.907526,138.592749
NorthTce134,-34.921764,138.597495
NorthTce142,-34.921378,138.597477
RosinaSt28_rap,-34.924524,138.595581
WCHosp_Rog1,-34.911478,138.600758
PulteneyStHMSQ_sw_rap,-34.924959,138.6056
PirieSt112_rap,-34.925518,138.604124
RundleMallCnpyS_rap,-34.922784,138.601886
GrenfellSt55,-34.924361,138.601833
PeelSt23,-34.923921,138.598114
FlindersSt32_rap,-34.926953,138.601934
Jackpots_on_Hindley,-34.92316,138.5986
Nano_Ready_2_Go,-34.922979,138.609575
NorthTce106,-34.921878,138.595495
PulteneySt17,-34.921908,138.605374
WCHosp_Rog2,-34.911528,138.600744
Cibo_TTP,-34.82997,138.692286
GrenfellSt32,-34.924271,138.600974
HuttSt202_rap,-34.932441,138.612474
MoseleySquare-X,-34.980307,138.511791
WakefieldSt21_rap,-34.928654,138.602047
AquaticCentre,-34.900506,138.590908
Colonel_Light_Centre2,-34.92571,138.60095
GrenfellSt75,-34.924315,138.602793
NorthTce192_rap,-34.921771,138.601804
NorthTce226,-34.921431,138.604386
PirieSt12,-34.925676,138.600534
PirieSt50,-34.925598,138.601995
RundleSt218,-34.92251,138.60782
StateLib_ServiceDesk,-34.920114,138.602381
FranklinSt33,-34.927353,138.597764
GougerSt52_rap,-34.930174,138.597147
KingstonSt,-34.92398,138.596492
TechPark_WestWing,-34.81396,138.619557
UnCaffe_NthAdelaide,-34.90705,138.595251
UnionSt11,-34.923008,138.608591
CiboWaymouthSt,-34.92575,138.598438
Cibo_Espresso_Melbourne_St,-34.90779,138.60558
CocolatDesserts2,-34.922852,138.609259
Colonel_Light_Centre,-34.92571,138.60095
CurrieSt140,-34.924574,138.594342
FlindersSt138_rap,-34.926804,138.605526
OConnellSt101_rap,-34.905861,138.595709
RundleMall101_w,-34.922809,138.603409
RundleMallCnpyE_rap,-34.922784,138.601979
TechPark_Conference,-34.813746,138.620423
WCHosp_Lev2Playdeck,-34.911396,138.60005
WaymouthSt24,-34.92577,138.598728
Bean_Bar_James_Place,-34.92356,138.60034
Cafe_Brunelli,-34.922739,138.60671
CiboOConnellSt,-34.907496,138.596203
CiboRundleMall,-34.922686,138.603889
FranklinSt16_rap,-34.927182,138.598392
FranklinSt97,-34.92748,138.595343
HindleySt44,-34.923038,138.59776
HuttSt231_rap,-34.933512,138.612209
HuttStLibrary,-34.933473,138.61205
Lincontro,-34.923485,138.603934
MarketHall_cc,-34.929497,138.597307
On_The_Run_C-Coffee,-34.92194,138.59804